osmid,y,x,geometry
33143855,48.2174805,16.3271733,POINT (16.3271733 48.2174805)
33174088,48.2165132,16.3269092,POINT (16.3269092 48.2165132)
248526742,48.2153353,16.3265865,POINT (16.3265865 48.2153353)
248526743,48.21428,16.3265398,POINT (16.3265398 48.21428)
2383639011,48.2128346,16.3265736,POINT (16.3265736 48.2128346)
7800238148,48.2124478,16.3281527,POINT (16.3281527 48.2124478)
33079229,48.2122331,16.3289449,POINT (16.3289449 48.2122331)
264054984,48.2120112,16.3298096,POINT (16.3298096 48.2120112)
33079223,48.2113905,16.3335684,POINT (16.3335684 48.2113905)
2385553146,48.2099883,16.3401273,POINT (16.3401273 48.2099883)
16614540,48.2094137,16.3330136,POINT (16.3330136 48.2094137)
25280481,48.210419,16.3333456,POINT (16.3333456 48.210419)
24966975,48.212399,16.3337573,POINT (16.3337573 48.212399)
33079206,48.212889,16.3336442,POINT (16.3336442 48.212889)
264056211,48.2136039,16.3334519,POINT (16.3334519 48.2136039)
264055449,48.2148369,16.3331987,POINT (16.3331987 48.2148369)
264060523,48.2164362,16.3333852,POINT (16.3333852 48.2164362)
25267596,48.2095855,16.3318878,POINT (16.3318878 48.2095855)
25276589,48.2097089,16.3310752,POINT (16.3310752 48.2097089)
26972253,48.2098706,16.3300176,POINT (16.3300176 48.2098706)
24966959,48.2100193,16.3290408,POINT (16.3290408 48.2100193)
17312826,48.2101643,16.3280906,POINT (16.3280906 48.2101643)
32637457,48.2110822,16.3220749,POINT (16.3220749 48.2110822)
33079252,48.2107423,16.3285498,POINT (16.3285498 48.2107423)
33079246,48.2111892,16.3287685,POINT (16.3287685 48.2111892)
33079248,48.211677,16.3289048,POINT (16.3289048 48.211677)
17312861,48.208421,16.339313,POINT (16.339313 48.208421)
33144363,48.2079297,16.3416718,POINT (16.3416718 48.2079297)
17312860,48.207556,16.3434482,POINT (16.3434482 48.207556)
31673327,48.2072743,16.344842,POINT (16.344842 48.2072743)
31673329,48.2071121,16.3456095,POINT (16.3456095 48.2071121)
31673334,48.2102933,16.3454669,POINT (16.3454669 48.2102933)
24966942,48.2115785,16.3260348,POINT (16.3260348 48.2115785)
24966947,48.2110522,16.32966,POINT (16.32966 48.2110522)
33079250,48.2109024,16.3308223,POINT (16.3308223 48.2109024)
