u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,length,geometry,bearing,layer_height,stroke_group,edge_interior_angle
378471,258358061,0,"[537689832, 785306583, 537689831]",True,"['3', '4']",B221,Lerchenfelder Gürtel,primary,50,87.08399999999999,"LINESTRING (16.3385974 48.2093899, 16.3385362 48.2091718, 16.3382498 48.2087579, 16.3382307 48.2087307, 16.3382115 48.2087035, 16.3381825 48.2086624)",200.8,height 2,0,"{(25280481, 378471, 0): 85.37599999999999, (33079214, 378471, 0): 172.111, (258358061, 258358062, 0): 125.487, (258358061, 17312836, 0): 176.537, (2423397431, 258358061, 0): 56.858}"
378472,33079222,0,4986564,True,,,Gaullachergasse,residential,30,371.321,"LINESTRING (16.338667 48.2115728, 16.3384595 48.2115919, 16.3361475 48.2118047, 16.3337067 48.2120473)",278.2,height 1,1,"{(378472, 33079214, 0): 97.48100000000001, (33079216, 378472, 0): 88.695, (33079222, 24966975, 0): 87.489, (33079222, 221890042, 0): 179.18699999999998, (33079223, 33079222, 0): 96.218}"
378472,33079214,0,"[810647296, 537689830]",True,4,B221,Lerchenfelder Gürtel,primary,50,91.56999999999998,"LINESTRING (16.338667 48.2115728, 16.3386746 48.2113769, 16.3386774 48.2113043, 16.3386961 48.211092, 16.3386994 48.2110201, 16.3387005 48.2109972, 16.338708 48.2108967, 16.3387095 48.2108768, 16.3387107 48.2108605, 16.338719 48.2107501)",177.6,height 2,0,"{(378472, 33079222, 0): 97.48100000000001, (33079214, 293267450, 0): 130.88400000000001, (33079214, 378471, 0): 173.25799999999998, (33079216, 378472, 0): 173.824, (33079223, 33079214, 0): 73.531}"
378630,378629,0,"[219430762, 4996510]",True,,,Feßtgasse,secondary,50,69.679,"LINESTRING (16.3254075 48.211218, 16.3253946 48.2111621, 16.3253764 48.2111085, 16.3253572 48.2110517, 16.3252281 48.2106773, 16.3252078 48.2106183, 16.3252037 48.2106064)",192.5,height 2,2,"{(24966938, 378630, 0): 166.176, (32637459, 378629, 0): 100.054, (32637460, 378629, 0): 79.994, (33242286, 378630, 0): 94.309}"
378642,33079254,0,4986585,True,,,Blumberggasse,residential,30,70.209,"LINESTRING (16.3271266 48.21031, 16.3271313 48.2103242, 16.3271487 48.2103764, 16.327313 48.2108712, 16.3272905 48.2109258)",10.1,height 2,3,"{(17312826, 378642, 0): 80.281, (32637460, 378642, 0): 99.41799999999999, (33079254, 33079252, 0): 104.105, (33079254, 33079245, 0): 169.68, (33242286, 33079254, 0): 121.32199999999999}"
378696,33143911,0,8096263,True,2,,Jörgerstraße,secondary,50,94.143,"LINESTRING (16.3416682 48.2173376, 16.3415519 48.2173536, 16.3404235 48.2175079)",281.6,height 1,4,"{(378696, 685163, 0): 71.268, (378699, 378696, 0): 179.916, (33143911, 33143667, 0): 103.496, (33143911, 33143898, 0): 55.348, (33143911, 33144821, 0): 179.675, (3312560802, 378696, 0): 105.68900000000001}"
378696,685163,0,"[384292260, 384292261]",True,"['4', '5']",B221,Hernalser Gürtel,primary,50,98.629,"LINESTRING (16.3416682 48.2173376, 16.3416279 48.217257, 16.341615 48.2172312, 16.3416003 48.2172017, 16.3415386 48.2170772, 16.3414824 48.2169685, 16.3413137 48.2166423, 16.3412881 48.2165928, 16.3412394 48.2164979)",198.8,height 2,0,"{(378696, 33143911, 0): 71.268, (378699, 378696, 0): 108.816, (685163, 33144880, 0): 178.289, (685163, 685164, 0): 74.144, (33143667, 685163, 0): 104.45599999999999, (3312560802, 378696, 0): 176.957}"
378699,33144414,0,23311963,True,3,B221,Währinger Gürtel,primary,50,130.102,"LINESTRING (16.3424207 48.2172288, 16.3424441 48.2172833, 16.3424708 48.2173351, 16.3428515 48.2182304, 16.3428721 48.2182789, 16.3429038 48.2183536)",16.0,height 2,5,"{(378699, 378696, 0): 105.16399999999999, (33144412, 378699, 0): 77.75, (33144414, 3312560802, 0): 70.28399999999999, (33144414, 33345332, 0): 179.91500000000002, (33144416, 33144414, 0): 103.269, (2335589819, 378699, 0): 176.867}"
378699,378696,0,146985785,True,3,,Hernalser Gürtel,secondary,50,57.05500000000001,"LINESTRING (16.3424207 48.2172288, 16.342322 48.2172428, 16.3420185 48.2172859, 16.3419731 48.2172925, 16.3419537 48.2172953, 16.3418897 48.2173049, 16.3418378 48.2173127, 16.3417946 48.2173204, 16.3416682 48.2173376)",282.2,height 1,4,"{(378696, 33143911, 0): 179.916, (378696, 685163, 0): 108.816, (378699, 33144414, 0): 105.16399999999999, (33144412, 378699, 0): 177.086, (2335589819, 378699, 0): 71.703, (3312560802, 378696, 0): 74.22699999999999}"
378700,33144419,0,15792888,True,,,Meynertgasse,residential,30,139.158,"LINESTRING (16.3445443 48.2168208, 16.3445045 48.2169169, 16.3444914 48.2170127, 16.3445711 48.2180235, 16.3445798 48.2180665)",1.1,height 2,6,"{(33144419, 33144416, 0): 88.277, (33144419, 33182073, 0): 91.506, (33182067, 378700, 0): 159.016, (33182070, 378700, 0): 96.766, (2335589805, 378700, 0): 111.484}"
378721,980744161,0,216685763,True,,,Spitalgasse,secondary,50,53.251,"LINESTRING (16.3516278 48.2188901, 16.3515584 48.2187382, 16.3515004 48.2185928, 16.3514411 48.2184278)",195.1,height 2,7,"{(359131237, 980744161, 0): 69.263, (359131237, 378721, 0): 79.226, (915829192, 378721, 0): 142.014, (980744161, 75605497, 0): 168.138, (2507395459, 378721, 0): 178.29}"
378727,26405238,0,8105896,True,1,,Fuchsthallergasse,secondary,50,74.57,"LINESTRING (16.3498014 48.2250679, 16.3499189 48.2250508, 16.3507849 48.224925)",102.3,height 1,8,"{(378727, 33302019, 0): 87.004, (26405238, 33302007, 0): 97.354, (26405238, 33345337, 0): 83.084, (26405238, 28982559, 0): 172.34099999999998, (213287623, 378727, 0): 94.76, (1371563077, 378727, 0): 179.045}"
378727,33302019,0,378265328,True,4,B221,Währinger Gürtel,primary,50,51.817,"LINESTRING (16.3498014 48.2250679, 16.3498142 48.2251321, 16.3499112 48.2255281)",9.0,height 2,5,"{(378727, 26405238, 0): 87.004, (33302019, 33302007, 0): 97.98299999999999, (33302019, 392847, 0): 177.185, (213287623, 378727, 0): 178.236, (1371563077, 378727, 0): 93.951}"
378728,1629378075,0,"[337654522, 385800228]",True,"['3', '4']",B221,Währinger Gürtel,primary,50,102.08399999999999,"LINESTRING (16.34944 48.2236212, 16.349484 48.2237917, 16.349609 48.2242524, 16.3496426 48.2243837, 16.3496508 48.2244189, 16.3496756 48.2245257)",9.8,height 2,5,"{(655018, 1629378075, 0): 82.706, (33345331, 378728, 0): 91.59700000000001, (33345332, 378728, 0): 154.034, (1629378075, 251207325, 0): 88.348, (1629378075, 213287623, 0): 179.92200000000003}"
392224,33144947,0,24939638,True,,,Leopold-Ernst-Gasse,residential,30,93.458,"LINESTRING (16.3333166 48.2221545, 16.3343852 48.2217078)",122.1,height 1,9,"{(392224, 393924, 0): 80.916, (33144459, 33144947, 0): 111.642, (33144644, 392224, 0): 99.131, (33144947, 320192043, 0): 178.917, (33144947, 33144640, 0): 68.845, (162796578, 392224, 0): 178.746}"
392224,393924,0,5010790,True,,,Weidmanngasse,residential,30,104.57199999999999,"LINESTRING (16.3333166 48.2221545, 16.3333519 48.2222115, 16.3340208 48.2229689)",29.9,height 2,10,"{(392224, 33144947, 0): 80.916, (393924, 33144487, 0): 179.675, (393924, 292365649, 0): 74.557, (33144459, 393924, 0): 105.419, (33144644, 392224, 0): 179.953, (162796578, 392224, 0): 97.83}"
392442,33344804,0,23713389,True,,,Semperstraße,residential,30,106.468,"LINESTRING (16.3479451 48.224684, 16.3477633 48.2237342)",187.3,height 2,11,"{(392442, 655018, 0): 96.587, (394751, 392442, 0): 179.64100000000002, (33344253, 392442, 0): 83.863, (33344804, 33344805, 0): 101.94500000000001}"
392442,655018,0,"[687707600, 5010794]",True,2,,Schulgasse,secondary,"['30', '50']",74.995,"LINESTRING (16.3479451 48.224684, 16.348777 48.2246222, 16.3488214 48.2246194, 16.3489507 48.2246067)",96.6,height 1,12,"{(392442, 33344804, 0): 96.587, (394751, 392442, 0): 83.054, (655018, 33344802, 0): 83.072, (655018, 1629378075, 0): 179.94400000000002, (33344253, 392442, 0): 179.54999999999998, (1371563077, 655018, 0): 97.023}"
393097,5316966252,0,5743161,True,1,,Aumannplatz,secondary,30,20.19,"LINESTRING (16.3365477 48.228131, 16.3365684 48.2281423, 16.3366122 48.2281661, 16.3367315 48.228264)",42.6,height 2,13,"{(393097, 2451285012, 0): 68.43100000000001, (1850015448, 393097, 0): 91.575, (3337813458, 393097, 0): 170.587, (5316966252, 30696018, 0): 158.98399999999998, (5316966252, 5316966255, 0): 144.651}"
393097,2451285012,0,550487334,True,1,,Aumannplatz,secondary,50,36.114,"LINESTRING (16.3365477 48.228131, 16.3365354 48.2282303, 16.3365254 48.2282772, 16.3364993 48.2283231, 16.336453 48.2283661, 16.3364316 48.2283992, 16.336408 48.2284357)",343.0,height 2,8,"{(393097, 5316966252, 0): 68.43100000000001, (30696018, 2451285012, 0): 106.549, (1850015448, 393097, 0): 160.006, (2451285012, 287914700, 0): 138.385, (3337813458, 393097, 0): 102.15599999999999}"
393373,1119870220,0,5010780,True,,,Semperstraße,residential,30,47.223,"LINESTRING (16.3482783 48.2262225, 16.3482649 48.2261628, 16.3481948 48.2258512, 16.3481838 48.2258025)",188.5,height 2,11,"{(655032, 393373, 0): 95.234, (33301346, 1119870220, 0): 82.962, (33344821, 393373, 0): 84.104, (1119870220, 394751, 0): 179.579}"
393375,64975949,0,24939395,True,1,,Währinger Straße,secondary,30,30.906,"LINESTRING (16.3346608 48.2283981, 16.3349162 48.2283544, 16.3350633 48.2283251)",105.2,height 1,2,"{(29048460, 393375, 0): 176.60399999999998, (64975949, 33345310, 0): 87.79, (64975949, 5322689627, 0): 179.98999999999998, (271016303, 393375, 0): 18.515}"
393924,33144487,0,5010790,True,,,Weidmanngasse,residential,30,107.917,"LINESTRING (16.3340208 48.2229689, 16.3347658 48.2238029)",30.8,height 2,10,"{(392224, 393924, 0): 179.675, (393924, 292365649, 0): 105.768, (33144459, 393924, 0): 74.256, (33144487, 33144484, 0): 105.612, (33144487, 33144069, 0): 179.513, (33144491, 33144487, 0): 74.414}"
393924,292365649,0,27541033,True,,,Schumanngasse,residential,30,85.69500000000001,"LINESTRING (16.3340208 48.2229689, 16.3331023 48.223417, 16.3330875 48.2234242)",306.2,height 1,14,"{(392224, 393924, 0): 74.557, (393924, 33144487, 0): 105.768, (33144459, 393924, 0): 179.976, (292365649, 33144491, 0): 74.545, (292365649, 33144463, 0): 179.82, (292365649, 162796578, 0): 105.483}"
394751,392442,0,23713388,True,1,,Semperstraße,secondary,30,71.074,"LINESTRING (16.3480705 48.2253177, 16.3480679 48.2253044, 16.3480548 48.2252383, 16.3479451 48.224684)",187.5,height 2,11,"{(392442, 33344804, 0): 179.64100000000002, (392442, 655018, 0): 83.054, (33344253, 392442, 0): 96.496, (251207329, 394751, 0): 88.365, (1119870220, 394751, 0): 177.756, (1371563074, 394751, 0): 91.578}"
394989,33345287,0,655549764,True,,,Vinzenzgasse,residential,30,73.52499999999999,"LINESTRING (16.335796 48.226846, 16.3357657 48.2267928, 16.3354438 48.2262278)",200.8,height 2,15,"{(33345285, 394989, 0): 97.376, (33345287, 33345286, 0): 177.817, (33345289, 394989, 0): 178.91699999999997, (33345298, 33345287, 0): 84.31700000000001, (33345311, 394989, 0): 82.646}"
655012,33144500,0,5010781,True,,,Hofmanngasse,residential,30,96.156,"LINESTRING (16.3449313 48.2223384, 16.3444459 48.2231404)",338.0,height 2,16,"{(655012, 283324403, 0): 73.096, (33144500, 33344806, 0): 73.227, (33144500, 33144497, 0): 106.416, (33344801, 655012, 0): 106.325}"
655012,283324403,0,"[491714226, 30282227]",True,3,B221,Währinger Gürtel,primary,50,106.25800000000001,"LINESTRING (16.3449313 48.2223384, 16.3447934 48.2223033, 16.3443174 48.2221823, 16.3439547 48.2220773, 16.3438802 48.2220571, 16.3437657 48.2220195, 16.3436893 48.2219893, 16.3436387 48.2219642, 16.3436212 48.2219556)",246.3,height 1,0,"{(655012, 33144500, 0): 73.096, (33344801, 655012, 0): 179.421, (283324403, 29048465, 0): 169.155, (358517297, 283324403, 0): 119.878}"
655018,33344802,0,"[502918368, 30282227, 502918372]",True,"['3', '4']",B221,Währinger Gürtel,primary,50,238.92299999999997,"LINESTRING (16.3489507 48.2246067, 16.348936 48.2245406, 16.3487916 48.223925, 16.3487801 48.2238761, 16.34876 48.223823, 16.3487271 48.2237571, 16.3486624 48.2236635, 16.3485806 48.2235717, 16.348471 48.2234575, 16.3484019 48.2233959, 16.3482463 48.223282, 16.348131 48.2232163, 16.3480123 48.2231663, 16.3478722 48.2231225, 16.3473009 48.2229672)",213.8,height 2,0,"{(392442, 655018, 0): 83.072, (655018, 1629378075, 0): 96.872, (33344802, 33344805, 0): 106.857, (33344802, 33344801, 0): 179.65, (1371563077, 655018, 0): 179.90500000000003}"
655018,1629378075,0,"[24867848, 655066913]",True,2,,Schulgasse,secondary,50,54.456,"LINESTRING (16.3489507 48.2246067, 16.3490273 48.2245991, 16.3490676 48.2245951, 16.3491377 48.2245877, 16.3491428 48.2245871, 16.3492112 48.2245787, 16.3494651 48.2245475, 16.3495007 48.2245434, 16.3496756 48.2245257)",99.5,height 1,12,"{(378728, 1629378075, 0): 82.706, (392442, 655018, 0): 179.94400000000002, (655018, 33344802, 0): 96.872, (1371563077, 655018, 0): 83.033, (1629378075, 251207325, 0): 171.054, (1629378075, 213287623, 0): 97.21600000000001}"
655032,33301346,0,384796925,True,4,B221,Währinger Gürtel,primary,50,43.976,"LINESTRING (16.3492475 48.2260964, 16.3492339 48.226036, 16.3491593 48.2257053)",188.5,height 2,0,"{(655032, 393373, 0): 84.75300000000001, (33301346, 1119870220, 0): 97.022, (33301346, 1371563077, 0): 175.80700000000002, (260428787, 655032, 0): 95.842}"
655032,393373,0,"[24939394, 813588391]",True,"['2', '3']",,Gentzgasse,secondary,30,73.15100000000001,"LINESTRING (16.3492475 48.2260964, 16.3491518 48.2261089, 16.3491002 48.2261156, 16.3486497 48.2261742, 16.3483797 48.2262093, 16.3482783 48.2262225)",281.1,height 1,17,"{(393373, 1119870220, 0): 95.234, (655032, 33301346, 0): 84.75300000000001, (33344821, 393373, 0): 179.338, (260428787, 655032, 0): 179.405}"
670011,33079213,0,324297226,True,4,B221,Lerchenfelder Gürtel,primary,50,85.14500000000001,"LINESTRING (16.3392716 48.2096336, 16.3393777 48.2102245, 16.3393844 48.2102617, 16.3394082 48.2103939)",6.8,height 2,5,"{(33079213, 2385553146, 0): 71.397, (33079213, 293268166, 0): 179.65999999999997, (293267450, 33079213, 0): 110.007, (2222890667, 670011, 0): 91.40299999999999, (2423397431, 670011, 0): 171.012}"
685158,33182049,0,28079922,True,,,Feldgasse,residential,30,122.75200000000001,"LINESTRING (16.345685 48.2152903, 16.3456744 48.2152361, 16.3456031 48.2145477, 16.3455631 48.2144727, 16.3455458 48.2141933)",184.8,height 2,18,"{(685158, 2457060680, 0): 114.94800000000001, (33182049, 213287640, 0): 94.29400000000001, (33182049, 33182048, 0): 144.594, (68164549, 685158, 0): 178.87299999999996, (2455074401, 685158, 0): 94.366}"
685158,2457060680,0,"[237844088, 149641164, 237844079]",True,"['2', '1']",,Alser Straße,secondary,50,167.665,"LINESTRING (16.345685 48.2152903, 16.3459039 48.2153444, 16.3460236 48.2153706, 16.3461416 48.2153768, 16.3464264 48.2153557, 16.3469079 48.2153101, 16.3472713 48.2152735, 16.3475436 48.2152413, 16.347909 48.2152117)",93.0,height 1,17,"{(685158, 33182049, 0): 114.94800000000001, (68164549, 685158, 0): 86.05699999999999, (2455074401, 685158, 0): 172.81799999999998, (2457060680, 2457060663, 0): 161.387, (2457060680, 2457060660, 0): 179.387}"
685159,685160,0,4583411,True,1,,Hernalser Hauptstraße,secondary,50,133.481,"LINESTRING (16.337242 48.2171175, 16.3373333 48.2171293, 16.3375672 48.2171595, 16.3377612 48.2171672, 16.3379795 48.2171413, 16.3382807 48.2170888, 16.3389994 48.2169634)",97.5,height 1,19,"{(685159, 33144888, 0): 78.21000000000001, (685160, 33143667, 0): 179.089, (685160, 33144821, 0): 98.279, (33144831, 685159, 0): 109.591, (33144883, 685160, 0): 83.14, (264055535, 685159, 0): 175.385}"
685159,33144888,0,147545881,True,,,Palffygasse,residential,30,109.31,"LINESTRING (16.337242 48.2171175, 16.3372635 48.2170556, 16.3372575 48.2161361)",179.4,height 2,20,"{(685159, 685160, 0): 78.21000000000001, (33144831, 685159, 0): 172.199, (33144888, 33144883, 0): 94.37400000000001, (33144888, 33079197, 0): 174.669, (33144892, 33144888, 0): 85.99499999999999, (264055535, 685159, 0): 97.175}"
685160,33143667,0,4583411,True,1,,Hernalser Hauptstraße,secondary,50,88.371,"LINESTRING (16.3389994 48.2169634, 16.340146 48.2167445)",106.0,height 1,19,"{(685159, 685160, 0): 179.089, (685160, 33144821, 0): 82.632, (33143667, 685163, 0): 178.09799999999998, (33143911, 33143667, 0): 98.963, (33144883, 685160, 0): 95.94900000000001}"
685160,33144821,0,210597285,True,1,,Veronikagasse,tertiary,30,79.77399999999999,"LINESTRING (16.3389994 48.2169634, 16.3391893 48.2175418, 16.3391976 48.217567, 16.3392071 48.217595, 16.3392305 48.2176641)",12.4,height 2,21,"{(685159, 685160, 0): 98.279, (685160, 33143667, 0): 82.632, (33143911, 33144821, 0): 101.263, (33144821, 245498397, 0): 74.557, (33144821, 33144583, 0): 177.471, (33144883, 685160, 0): 178.58100000000002}"
685161,2455074427,0,"[20440237, 245222094]",True,"['2', '1']",,Hebragasse,tertiary,30,90.33,"LINESTRING (16.3434676 48.2160075, 16.3436069 48.2159675, 16.3436743 48.2159267, 16.3436858 48.215898, 16.3437057 48.2158197, 16.3437177 48.2156103, 16.3437351 48.2153553, 16.3437435 48.2153159, 16.343759 48.2152805)",165.0,height 2,19,"{(685161, 2451408746, 0): 22.875, (33143752, 685161, 0): 176.13400000000001, (2455074427, 2455074424, 0): 71.292, (2455074427, 2455074401, 0): 173.53799999999998}"
685161,2451408746,0,237916536,True,,,Kinderspitalgasse,tertiary,30,23.147,"LINESTRING (16.3434676 48.2160075, 16.3436265 48.2160266, 16.3436983 48.2160412, 16.3437413 48.2160499, 16.3437709 48.2160559)",76.5,height 1,22,"{(685161, 2455074427, 0): 22.875, (33143752, 685161, 0): 160.99099999999999, (249607807, 2451408746, 0): 116.257, (2451408746, 2335589799, 0): 83.602}"
685163,33144880,0,23311966,True,4,B221,Hernalser Gürtel,primary,50,79.83,"LINESTRING (16.3412394 48.2164979, 16.3411939 48.2164154, 16.3409857 48.2160282, 16.3408749 48.2158223)",199.8,height 2,0,"{(378696, 685163, 0): 178.289, (685163, 685164, 0): 107.56700000000001, (33143667, 685163, 0): 73.833, (33144880, 372619794, 0): 178.258, (33144883, 33144880, 0): 113.178}"
685163,685164,0,"[376410648, 245115220]",True,2,,Hernalser Gürtel,secondary,50,55.413999999999994,"LINESTRING (16.3412394 48.2164979, 16.3413684 48.2164721, 16.34155 48.2164304, 16.3417638 48.2163835, 16.3417797 48.21638, 16.3418205 48.216371, 16.34195 48.2163426)",108.2,height 1,19,"{(378696, 685163, 0): 74.144, (685163, 33144880, 0): 107.56700000000001, (685164, 33143752, 0): 179.685, (685164, 2335589819, 0): 105.868, (33143667, 685163, 0): 178.6, (2455074406, 685164, 0): 74.39699999999999}"
685164,33143752,0,35317166,True,1,,Kinderspitalgasse,tertiary,30,65.436,"LINESTRING (16.34195 48.2163426, 16.3420553 48.2163189, 16.3427868 48.2161544)",108.7,height 1,19,"{(685163, 685164, 0): 179.685, (685164, 2335589819, 0): 74.447, (33143752, 685161, 0): 179.488, (2335589812, 33143752, 0): 101.953, (2455074406, 685164, 0): 105.288, (2455074424, 33143752, 0): 101.82900000000001}"
685164,2335589819,0,378275518,True,4,B221,Hernalser Gürtel,primary,50,90.90100000000001,"LINESTRING (16.34195 48.2163426, 16.3419993 48.2164344, 16.3422837 48.2169575, 16.3423271 48.217045, 16.3423466 48.2170814, 16.3423632 48.2171123)",19.7,height 2,5,"{(685163, 685164, 0): 105.868, (685164, 33143752, 0): 74.447, (2335589819, 2335589812, 0): 106.956, (2335589819, 378699, 0): 177.483, (2455074406, 685164, 0): 179.735}"
685166,685167,0,150120124,True,2,,Elterleinplatz,secondary,50,120.335,"LINESTRING (16.3307416 48.2181904, 16.3307811 48.2181839, 16.3308649 48.2181701, 16.3309992 48.2181479, 16.33101 48.2181471, 16.3316804 48.218099, 16.3321253 48.2180576, 16.3321929 48.2180513, 16.3323462 48.2180313)",98.5,height 1,19,"{(685167, 264055535, 0): 177.406, (685167, 33144900, 0): 87.55600000000001, (162796582, 685166, 0): 27.430999999999997, (247630175, 685166, 0): 175.869, (1630416833, 685167, 0): 97.35300000000001, (1630416845, 685166, 0): 14.043000000000001}"
685167,264055535,0,4583411,True,1,,Hernalser Hauptstraße,secondary,50,204.105,"LINESTRING (16.3323462 48.2180313, 16.332504 48.2180034, 16.3328549 48.2178906, 16.333229 48.2177663, 16.3335084 48.2177222, 16.3343108 48.217601, 16.3344962 48.217573, 16.3348565 48.2174498, 16.3349268 48.2174258)",109.4,height 1,19,"{(685166, 685167, 0): 177.406, (685167, 33144900, 0): 89.85, (264055534, 264055535, 0): 90.47399999999999, (264055535, 685159, 0): 176.264, (264055535, 264055536, 0): 94.124, (1630416833, 685167, 0): 85.241}"
685167,33144900,0,6122435,True,,,Kalvarienberggasse,residential,30,173.617,"LINESTRING (16.3323462 48.2180313, 16.3323353 48.2179687, 16.3322586 48.2175287, 16.3322473 48.2174683, 16.3321813 48.2171028, 16.3320739 48.2165149, 16.3320677 48.216481)",186.8,height 2,23,"{(685166, 685167, 0): 87.55600000000001, (685167, 264055535, 0): 89.85, (33144900, 264056023, 0): 178.20199999999997, (33144900, 264060523, 0): 83.37299999999999, (33144904, 33144900, 0): 98.83200000000001, (1630416833, 685167, 0): 175.091}"
685169,218288749,0,23985123,True,,,Mayssengasse,residential,50,94.636,"LINESTRING (16.3267495 48.2159307, 16.3265935 48.2159369, 16.3255619 48.215977, 16.3254745 48.2159814)",273.4,height 1,24,"{(685169, 33174088, 0): 103.042, (33242098, 218288749, 0): 78.58200000000001, (218288749, 33242077, 0): 176.799, (218288749, 254353386, 0): 102.865, (248526742, 685169, 0): 77.247}"
685169,33174088,0,520512250,True,,,Taubergasse,residential,50,65.843,"LINESTRING (16.3267495 48.2159307, 16.3267664 48.2159924, 16.3269092 48.2165132)",10.4,height 2,25,"{(685169, 218288749, 0): 103.042, (33174088, 33144914, 0): 104.577, (33174088, 33143855, 0): 179.938, (33242098, 33174088, 0): 83.211, (248526742, 685169, 0): 179.711}"
16614540,25280481,0,4583248,True,,,Kirchstetterngasse,residential,30,114.459,"LINESTRING (16.3330136 48.2094137, 16.3330179 48.2094267, 16.3330387 48.2094897, 16.3333456 48.210419)",12.4,height 2,26,"{(16614541, 16614540, 0): 80.369, (25280480, 25280481, 0): 83.2, (25280481, 33079223, 0): 174.678, (25280481, 378471, 0): 97.118, (1991433240, 16614540, 0): 99.817}"
16614541,16614540,0,"[577162288, 112630083]",True,3,,Hofferplatz,secondary,50,68.216,"LINESTRING (16.333911 48.2092769, 16.3336413 48.209318, 16.3331067 48.2093995, 16.3330136 48.2094137)",282.9,height 1,27,"{(16614540, 25280481, 0): 80.369, (27399706, 16614541, 0): 179.91, (1991433240, 16614540, 0): 179.814}"
17312826,378642,0,192653304,True,,,Richard-Wagner-Platz,secondary,50,73.247,"LINESTRING (16.3280906 48.2101643, 16.3271266 48.21031)",282.8,height 1,27,"{(378642, 33079254, 0): 80.281, (17312826, 33079252, 0): 117.968, (24966959, 17312826, 0): 179.919, (32637460, 378642, 0): 179.699}"
17312826,33079252,0,9866343,True,,,Deinhardsteingasse,residential,30,72.97699999999999,"LINESTRING (16.3280906 48.2101643, 16.3280995 48.2101763, 16.3281341 48.2102232, 16.3284762 48.2106866, 16.3285498 48.2107423)",27.9,height 2,28,"{(17312826, 378642, 0): 117.968, (24966959, 17312826, 0): 62.113, (33079252, 24966952, 0): 134.314, (33079252, 33079246, 0): 171.472, (33079254, 33079252, 0): 45.409000000000006}"
17312836,17312837,0,47379824,True,,,Lerchenfelder Gürtel,secondary,50,54.486000000000004,"LINESTRING (16.3381316 48.2085805, 16.3382698 48.2085393, 16.3387061 48.2084642, 16.3387307 48.20846, 16.3388375 48.2084499)",105.5,height 1,29,"{(17312837, 2423397431, 0): 109.965, (17312837, 3310442552, 0): 173.421, (258358061, 17312836, 0): 74.724, (258358062, 17312836, 0): 175.704}"
17312837,2423397431,0,73261335,True,4,B221,Lerchenfelder Gürtel,primary,50,13.611,"LINESTRING (16.3388375 48.2084499, 16.3388604 48.2084982, 16.3388673 48.2085127, 16.3388676 48.2085133, 16.338873 48.2085247, 16.338893 48.2085666)",17.6,height 2,5,"{(17312836, 17312837, 0): 109.965, (17312837, 3310442552, 0): 114.19, (2423397431, 258358061, 0): 76.919, (2423397431, 670011, 0): 179.21699999999998, (3310442552, 2423397431, 0): 91.795}"
17312837,3310442552,0,324297228,True,,,Lerchenfelder Straße,secondary,50,22.346999999999998,"LINESTRING (16.3388375 48.2084499, 16.3389884 48.208453, 16.3390786 48.2084552, 16.3391389 48.2084566)",88.1,height 1,29,"{(17312836, 17312837, 0): 173.421, (17312837, 2423397431, 0): 114.19, (3310442552, 17312861, 0): 167.16, (3310442552, 2423397431, 0): 25.853}"
24966938,24966942,0,4986567,True,,,Friedrich-Kaiser-Gasse,residential,30,52.86,"LINESTRING (16.3253329 48.2116633, 16.3253545 48.211661, 16.3254411 48.211652, 16.3260348 48.2115785)",100.3,height 1,30,"{(24966938, 378630, 0): 95.372, (24966942, 33079245, 0): 179.196, (320172926, 24966938, 0): 107.057, (2383639020, 24966942, 0): 106.569}"
24966938,378630,0,219430762,True,,,Feßtgasse,secondary,50,49.881,"LINESTRING (16.3253329 48.2116633, 16.3254063 48.2113009, 16.3254075 48.211218)",173.6,height 2,2,"{(378630, 378629, 0): 166.176, (24966938, 24966942, 0): 95.372, (33242286, 378630, 0): 99.515, (320172926, 24966938, 0): 179.529}"
24966942,33079245,0,4986567,True,,,Friedrich-Kaiser-Gasse,residential,30,96.792,"LINESTRING (16.3260348 48.2115785, 16.3273139 48.2114019)",101.7,height 1,30,"{(24966938, 24966942, 0): 179.196, (33079245, 33079246, 0): 179.723, (33079245, 33079247, 0): 93.904, (33079254, 33079245, 0): 89.20100000000001, (2383639020, 24966942, 0): 74.235}"
24966947,24966952,0,122967030,True,,,Lindauergasse,residential,30,51.754,"LINESTRING (16.32966 48.2110522, 16.3295022 48.2105988)",193.1,height 2,31,"{(24966947, 33079250, 0): 101.1, (24966952, 24966959, 0): 160.664, (33079246, 24966947, 0): 79.547, (33079249, 24966947, 0): 173.566, (33079251, 24966952, 0): 85.101, (33079252, 24966952, 0): 100.622}"
24966947,33079250,0,4986567,True,,,Friedrich-Kaiser-Gasse,residential,30,87.887,"LINESTRING (16.32966 48.2110522, 16.3299027 48.2110177, 16.330638 48.2109083, 16.3308223 48.2109024)",100.9,height 1,30,"{(24966947, 24966952, 0): 101.1, (33079246, 24966947, 0): 179.353, (33079249, 24966947, 0): 85.334, (33079250, 33079251, 0): 52.111000000000004, (33079250, 25276592, 0): 171.529, (33079250, 33079249, 0): 156.147}"
