u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,length,geometry,bearing,layer_height,stroke_group,edge_interior_angle
2423479559,33344812,0,"[36769101, 234046383]",True,2,,Währinger Straße,secondary,50,144.39600000000002,"LINESTRING (16.3443157 48.2263246, 16.3443998 48.2263023, 16.3444687 48.2262835, 16.3445467 48.2262568, 16.3446212 48.2262304, 16.3447167 48.2261887, 16.3447748 48.2261631, 16.3447929 48.226154, 16.3448793 48.2261085, 16.3449502 48.2260656, 16.3449781 48.2260476, 16.3451272 48.2259554, 16.3452769 48.2258621, 16.3453543 48.2258154, 16.3454164 48.2257831, 16.3454545 48.2257664, 16.3455082 48.2257485, 16.3455604 48.2257375, 16.3456122 48.2257284, 16.3459567 48.2256704)",120.9,height 1,8,"{(33344809, 2423479559, 0): 97.352, (33344812, 33344811, 0): 84.813, (251207329, 33344812, 0): 179.941, (2423479559, 33344816, 0): 178.095}"
2423479559,33344816,0,508760485,True,2,,Währinger Straße,secondary,50,59.417,"LINESTRING (16.3443157 48.2263246, 16.3437171 48.2264622, 16.3436328 48.2264804, 16.3435543 48.2264915)",288.2,height 1,8,"{(33344809, 2423479559, 0): 80.743, (33344816, 392251, 0): 81.513, (33344817, 33344816, 0): 177.23499999999999, (2423479559, 33344812, 0): 178.095}"
2424032524,33079197,0,219442433,True,2,,Ottakringer Straße,secondary,50,68.726,"LINESTRING (16.3380453 48.2150156, 16.3378625 48.2149914, 16.337134 48.2149004)",259.3,height 1,24,"{(33079198, 33079197, 0): 114.91600000000001, (33144888, 33079197, 0): 88.63799999999999, (264056412, 33079197, 0): 179.649, (292352740, 2424032524, 0): 178.435, (2424032524, 2605251576, 0): 169.838}"
2424032524,2605251576,0,254723024,True,,,Ottakringer Straße,secondary,50,40.851,"LINESTRING (16.3380453 48.2150156, 16.3381283 48.2150118, 16.3382873 48.2150045, 16.3385119 48.2150388, 16.338588 48.2150512)",84.4,height 1,17,"{(292352740, 2424032524, 0): 11.727, (2424032524, 33079197, 0): 169.838, (2605251576, 292352740, 0): 102.919, (2605251576, 33079198, 0): 84.257, (2605251576, 2605251628, 0): 177.45600000000002}"
2451285012,287914700,0,237180653,True,2,,Gentzgasse,secondary,30,104.31099999999999,"LINESTRING (16.336408 48.2284357, 16.3360546 48.2285337, 16.3353801 48.2287289, 16.3352583 48.2287542, 16.3352382 48.2287603, 16.3351046 48.2287889)",292.1,height 1,17,"{(393097, 2451285012, 0): 138.385, (30696018, 2451285012, 0): 179.162, (287914700, 271016303, 0): 95.833, (287914700, 60957703, 0): 169.059}"
2451408746,2335589799,0,"[237194286, 27497479]",True,1,,"['Hebragasse', 'Zimmermannplatz']",secondary,30,94.50200000000001,"LINESTRING (16.3437709 48.2160559, 16.3437536 48.2161096, 16.3437153 48.2166778, 16.3437101 48.2167812, 16.3437438 48.216845, 16.3437354 48.2168998)",358.4,height 2,111,"{(685161, 2451408746, 0): 83.602, (249607807, 2451408746, 0): 160.141, (2335589799, 33144376, 0): 144.74, (2335589799, 2335589805, 0): 84.447, (2335589812, 2335589799, 0): 98.46900000000001}"
2455074396,33144127,0,8089523,True,,,Bennogasse,residential,30,113.12100000000001,"LINESTRING (16.3427655 48.2151708, 16.3427617 48.2151501, 16.3426267 48.2141577)",185.2,height 2,62,"{(33144127, 33144171, 0): 179.92399999999998, (33144127, 33144089, 0): 98.82199999999999, (213287632, 33144127, 0): 97.419, (2455074396, 2455074401, 0): 102.02999999999999, (2455074405, 2455074396, 0): 98.824, (2455074424, 2455074396, 0): 175.674}"
2455074396,2455074401,0,237626838,True,1,,Alser Straße,secondary,50,75.33099999999999,"LINESTRING (16.3427655 48.2151708, 16.3433285 48.2151868, 16.3436258 48.215197, 16.3436809 48.2151989, 16.3437811 48.2152024)",87.3,height 1,17,"{(213287628, 2455074401, 0): 88.389, (2455074396, 33144127, 0): 102.02999999999999, (2455074401, 685158, 0): 179.366, (2455074405, 2455074396, 0): 179.95000000000002, (2455074424, 2455074396, 0): 94.448, (2455074427, 2455074401, 0): 76.855}"
2455074398,2455074405,0,237626838,True,1,,Alser Straße,secondary,50,44.942,"LINESTRING (16.3413063 48.2151315, 16.341421 48.2151345, 16.3419124 48.2151473)",87.8,height 1,17,"{(33143763, 2455074398, 0): 120.35999999999999, (33144089, 2455074405, 0): 109.566, (2455074398, 2455074406, 0): 116.878, (2455074405, 2455074396, 0): 179.914, (2605251628, 2455074398, 0): 179.351}"
2455074398,2455074406,0,813507907,True,4,B221,Hernalser Gürtel,primary,50,10.780999999999999,"LINESTRING (16.3413063 48.2151315, 16.3413258 48.2151676, 16.3413396 48.215193, 16.3413557 48.2152227)",19.8,height 2,5,"{(33143763, 2455074398, 0): 179.514, (2455074398, 2455074405, 0): 116.878, (2455074406, 372619794, 0): 116.68100000000001, (2455074406, 685164, 0): 179.603, (2455074424, 2455074406, 0): 119.61300000000001, (2605251628, 2455074398, 0): 120.523}"
