u,v,key,geometry,stroke_group,edge_interior_angle,int_bearing_diff
378472,33079214,0,"LINESTRING (16.338667 48.2115728, 16.3386746 48.2113769, 16.3386774 48.2113043, 16.3386961 48.211092, 16.3386994 48.2110201, 16.3387005 48.2109972, 16.338708 48.2108967, 16.3387095 48.2108768, 16.3387107 48.2108605, 16.338719 48.2107501)",0,"{(33079216, 378472, 0): 173.824, (33079214, 378471, 0): 173.25799999999998, (378472, 33079222, 0): 97.48100000000001, (33079223, 33079214, 0): 73.531, (33079214, 33079213, 0): 130.88400000000001}",1
33079214,378471,0,"LINESTRING (16.338719 48.2107501, 16.3387135 48.2106212, 16.3386903 48.2100697, 16.3386144 48.2095144, 16.3386098 48.2094806, 16.3385974 48.2093899)",0,"{(378472, 33079214, 0): 173.25799999999998, (378471, 258358061, 0): 172.111, (33079223, 33079214, 0): 108.325, (25280481, 378471, 0): 86.735, (33079214, 33079213, 0): 55.858000000000004}",4
378471,258358061,0,"LINESTRING (16.3385974 48.2093899, 16.3385362 48.2091718, 16.3382498 48.2087579, 16.3382307 48.2087307, 16.3382115 48.2087035, 16.3381825 48.2086624)",0,"{(33079214, 378471, 0): 172.111, (25280481, 378471, 0): 85.37599999999999, (2423397431, 258358061, 0): 56.858, (258358061, 16614540, 0): 125.487}",15
64975131,60957703,0,"LINESTRING (16.3330993 48.2285887, 16.3335844 48.2293838, 16.3335919 48.2293961)",1,"{(60957703, 287914700, 0): 100.053, (29048460, 64975131, 0): 65.881, (64975131, 64975746, 0): 112.408}",0
60957703,287914700,0,"LINESTRING (16.3335919 48.2293961, 16.3346201 48.2289948, 16.3351046 48.2287889)",1,"{(64975131, 60957703, 0): 100.053, (287914700, 30696018, 0): 169.059, (287914700, 393375, 0): 95.108}",2
30696019,25280685,0,"LINESTRING (16.3409908 48.2274167, 16.3422088 48.227232, 16.3422994 48.2272183)",1,"{(25280685, 392251, 0): 174.983, (33344817, 25280685, 0): 84.513, (33345293, 30696019, 0): 109.845, (33345321, 30696019, 0): 178.07899999999998}",0
25280685,392251,0,"LINESTRING (16.3422994 48.2272183, 16.3423861 48.2271973, 16.3436724 48.226886)",1,"{(30696019, 25280685, 0): 174.983, (33344817, 25280685, 0): 90.47, (33344816, 392251, 0): 86.937, (392251, 393373, 0): 177.949}",0
393373,655032,0,"LINESTRING (16.3482783 48.2262225, 16.3483797 48.2262093, 16.3486497 48.2261742, 16.3491002 48.2261156, 16.3491518 48.2261089, 16.3492475 48.2260964)",1,"{(655032, 1371563077, 0): 84.75300000000001, (394751, 393373, 0): 95.234, (655032, 392847, 0): 179.405, (392251, 393373, 0): 179.338}",0
392847,26405240,0,"LINESTRING (16.3500044 48.2260095, 16.3501376 48.2259955, 16.3501772 48.2259913, 16.3507023 48.2259362, 16.3510467 48.2259001)",1,"{(26405240, 28982563, 0): 172.10500000000002, (378727, 392847, 0): 94.973, (655032, 392847, 0): 179.463, (26405240, 26405238, 0): 81.556}",0
26405240,28982563,0,"LINESTRING (16.3510467 48.2259001, 16.3521273 48.2256331)",1,"{(392847, 26405240, 0): 172.10500000000002, (28982563, 28982564, 0): 179.184, (28982563, 28982559, 0): 75.34, (26405240, 26405238, 0): 90.54899999999999}",0
28982563,28982564,0,"LINESTRING (16.3521273 48.2256331, 16.3528587 48.2254634, 16.3529349 48.2254457)",1,"{(26405240, 28982563, 0): 179.184, (28982564, 28982560, 0): 76.223, (28982563, 28982559, 0): 105.476, (28982564, 28982569, 0): 176.113}",0
1381612052,1381612048,0,"LINESTRING (16.354067 48.2244517, 16.3540269 48.2243842, 16.3538229 48.2237689)",1,"{(1381612048, 1381612043, 0): 179.06799999999998, (1381612052, 33344336, 0): 66.638, (1381612048, 33344335, 0): 99.837, (28982569, 1381612052, 0): 178.93900000000002}",9
1381612048,1381612043,0,"LINESTRING (16.3538229 48.2237689, 16.3537588 48.2235856, 16.3536576 48.2233243, 16.3534481 48.2228436)",1,"{(1381612052, 1381612048, 0): 179.06799999999998, (1381612043, 2521182222, 0): 179.66, (1381612048, 33344335, 0): 79.231, (33344334, 1381612043, 0): 59.539000000000016}",3
1381612043,2521182222,0,"LINESTRING (16.3534481 48.2228436, 16.3532739 48.2224503, 16.3532577 48.2224169, 16.3532092 48.2223208, 16.3532022 48.222307)",1,"{(1381612048, 1381612043, 0): 179.66, (2521182222, 2382977342, 0): 177.40699999999998, (251207322, 2521182222, 0): 83.837, (33344334, 1381612043, 0): 120.12100000000001}",2
2521182222,2382977342,0,"LINESTRING (16.3532022 48.222307, 16.353194 48.2222925, 16.3531368 48.2221907, 16.3530766 48.2220814)",1,"{(1381612043, 2521182222, 0): 177.40699999999998, (2382977342, 2507395450, 0): 174.828, (251207322, 2521182222, 0): 93.57, (33344339, 2382977342, 0): 105.337}",0
2382977342,2507395450,0,"LINESTRING (16.3530766 48.2220814, 16.3528595 48.2215862, 16.3528206 48.2215028)",1,"{(2521182222, 2382977342, 0): 174.828, (2507395450, 2507395454, 0): 179.501, (33344339, 2382977342, 0): 79.835, (2507395450, 33345323, 0): 103.301}",1
2507395450,2507395454,0,"LINESTRING (16.3528206 48.2215028, 16.3527028 48.2212444, 16.3526625 48.2211545, 16.3525928 48.2209994)",1,"{(2382977342, 2507395450, 0): 179.501, (2507395450, 33345323, 0): 77.198, (33345324, 2507395454, 0): 102.883, (2507395454, 378721, 0): 179.916}",0
75605497,33182055,0,"LINESTRING (16.351368 48.2179014, 16.3513348 48.217669, 16.3512494 48.2171663)",1,"{(33182055, 33182054, 0): 177.698, (75605497, 75605503, 0): 82.515, (33182056, 33182055, 0): 95.532, (378721, 75605497, 0): 179.776}",1
33182055,33182054,0,"LINESTRING (16.3512494 48.2171663, 16.3512287 48.2170056, 16.3512029 48.2168254, 16.3511328 48.2163507, 16.3510874 48.2160252, 16.3510587 48.2158281)",1,"{(75605497, 33182055, 0): 177.698, (33182054, 33182053, 0): 92.345, (33182056, 33182055, 0): 86.77, (33182054, 2457966745, 0): 179.63600000000002}",1
2457966745,2457060660,0,"LINESTRING (16.3509955 48.2149257, 16.3509731 48.2149264, 16.3508558 48.2149345, 16.3507926 48.2149395, 16.3507796 48.2149407, 16.3502668 48.214976, 16.3498758 48.2150081, 16.3495221 48.2150586)",1,"{(2457060660, 2457060680, 0): 179.885, (2457060660, 218245323, 0): 154.435, (33182054, 2457966745, 0): 112.133}",9
